Country_Code,Country_Name,Region,Sub_Region,Intermediate_Region,Confirmed,Recovered,Deaths,ConfirmedPerPpopulation,RecoveryRate,DeathRate,"School enrollment, tertiary (% gross)","School enrollment, secondary (% net)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, youth male (% of males ages 15-24)","Literacy rate, youth female (% of females ages 15-24)","Labor force, female (% of total labor force)","Labor force, total",Population ages 15-64 (% of total population),"Government expenditure on education, total (% of GDP)","Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","Cause of death, by injury (% of total)","Cause of death, by non-communicable diseases (% of total)","Death rate, crude (per 1,000 people)",Diabetes prevalence (% of population ages 20 to 79),"Immunization, DPT (% of children ages 12-23 months)","Immunization, HepB3 (% of one-year-old children)","Immunization, measles (% of children ages 12-23 months)","Life expectancy at birth, total (years)",Prevalence of anemia among children (% of children under 5),Prevalence of undernourishment (% of population),Risk of impoverishing expenditure for surgical care (% of people at risk),Net ODA Received (2014-2018),Net ODA Received (2018),Inflation (2015-2019),Inflation (2019),GDP (2015-2019),GDP (2019),Unemployment (2015-2019),Unemployment (2019),Happiness Score (2019),GDP per capita (2019),Social support (2019),Healthy life expectancy (2019),Freedom to make life choices (2019),Generosity (2019),Perceptions of corruption (2019),"Nurse and Midwives(per1,000People)","Physician(per1,000People)",OECD_Nurse(1000HAB),OECD_Doctor(1000HAB),Health Expenditure (% of GDP),Hospital_Bed_ACUTE(1000HAB),Hospital_Bed_ICU(1000HAB),Hospital_Bed_OTHER(1000HAB),HOSPITAL_BED_PSYCHIATRIC(1000HAB),HOSPITAL_BED_TOTAL(1000HAB),Health Care Index _2000,HealthCare_Rank_2000,Covid19_test_conducted_people tested,Covid19_test_conducted_samples tested,Covid19_test_conducted_tests performed,Covid19_test_conducted_units unclear
LVA,Latvia,Europe,Northern Europe,,30297,20534,427,1.584,67.776,1.409,93.02448273,93.79965,99.88931274,99.90640259,99.86837006,99.77999878,99.86000061,48.42463495,983102,63.35573279,4.397119999,2.7,5.4,91.8,15,5,99,99,99,74.78292683,26.1,2.5,8.7,NA,NA,1.718220429,2.811409201,15816.11599,17836.36489,8.432600021,6.519999981,5.94,1.187,1.465,0.812,0.264,0.075,0.064,4.7517,3.1905,4.35,3.3,5.955661833,3.3,NA,NA,1.25,5.57,0.63,105,NA,NA,33659.303,NA
MAR,Morocco,Africa,Northern Africa,,415226,375623,6909,1.138,90.462,1.664,38.54533005,64.4924,73.75000763,64.59137726,83.30135345,98.04000092,97.40000153,0,12067484,65.73002807,0,14,6.4,79.6,5.06,7,99,99,99,76.453,34,4.3,15.2,51.69277071,22.52760042,1.211381286,0.196065521,3046.919776,3204.095003,9.208800125,9.019000053,5.208,0.801,0.782,0.782,0.418,0.036,0.076,1.3887,0.7308,NA,NA,5.245200172,NA,NA,NA,NA,NA,0.882,29,10977.17,NA,NA,NA
MCO,Monaco,Europe,Western Europe,,723,616,3,1.856,85.201,0.415,0,0,0,0,0,0,0,49.56111479,0,0,1.457929969,0,0,0,6.6,2.9,99,99,88,0,0,0,0,NA,NA,NA,NA,172346.5606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.772702299,NA,NA,NA,NA,NA,0.943,13,NA,NA,NA,NA
MDA,Moldova,Europe,Eastern Europe,,134578,117002,2727,5.064,86.94,2.026,39.21459961,77.95594,0,0,0,0,0,48.89570115,963122,72.09718982,5.439730167,4.2,5.7,90.1,11.61,5.7,91,94,97,71.808,26.3,0,6.4,111.6569443,85.33843721,6.097723355,4.837783514,3571.02205,4498.52085,4.085599995,5.47300005,5.529,0.685,1.328,0.739,0.245,0.181,0,4.9235,3.2066,NA,NA,7.012950629,NA,NA,NA,NA,NA,0.639,101,NA,NA,NA,NA
MDG,Madagascar,Africa,Sub-Saharan Africa,Eastern Africa,17587,16992,259,0.065,96.617,1.473,5.350490093,29.84739,74.80432129,72.38408661,77.27513885,81.719841,80.67803192,20.2331051,13851504,56.58909589,2.825489998,46.2,10.6,43.2,6.055,4.5,79,79,69,66.681,48.8,41.7,86,26.92359216,26.29503963,7.250749016,5.610514415,501.6409354,522.2198092,1.744000006,1.758000016,3.933,0.274,0.916,0.555,0.148,0.169,0.041,0.146,NA,NA,NA,5.502038077,NA,NA,NA,NA,NA,0.397,159,NA,NA,180.284,NA
MDV,Maldives,Asia,Southern Asia,,13474,12878,48,2.538,95.577,0.356,31.22359085,0,97.7349472,98.11470795,97.29892731,98.39115143,99.08863068,20.29691229,296776,76.44932791,4.099709988,8,7.6,84.4,2.814,9.2,99,99,99,78.627,39,0,0,94.0848297,230.9888049,0.851659785,0.220029731,9780.885848,10790.50024,5.950999928,6.138000011,NA,NA,NA,NA,NA,NA,NA,6.4282,4.5627,NA,NA,9.029976279,NA,NA,NA,NA,NA,0.477,147,NA,46001.773,NA,NA
MEX,Mexico,Americas,Latin America and the Caribbean,Central America,1313675,971115,117876,1.03,73.924,8.973,41.52280045,81.15596,95.37991333,94.60804749,96.23290253,99.24864197,99.38847351,0,57142190,66.39822125,4.522819996,9.8,10.3,79.9,6.01,13.5,82,56,73,74.992,28.2,7.1,4,5.258537568,4.277649711,4.023823462,3.635961421,9432.128587,9863.072699,3.660000038,3.424999952,6.595,1.07,1.323,0.861,0.433,0.074,0.073,2.3961,2.3827,2.87,2.44,5.516541377,1.38,NA,NA,0.03,1.38,0.755,61,1819.268,NA,NA,NA
MHL,Marshall Islands,Oceania,Micronesia,,4,4,0,0.007,100,NA,25.82278061,55.85237,0,0,0,0,0,37.05434265,0,0,0,0,0,0,0,30.5,79,82,85,0,36.1,0,0,871.2119686,922.0550324,NA,NA,3535.617816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.339,NA,NA,NA,16.40294045,NA,NA,NA,NA,NA,0.504,141,NA,NA,NA,NA
MLI,Mali,Africa,Sub-Saharan Africa,Western Africa,6164,3794,220,0.031,61.551,3.569,5.503170013,29.92706,35.47377014,25.73516083,46.18413925,57.83325958,43.39810944,40.83156001,7335419,50.20017519,3.787309885,60.6,8.9,30.5,9.686,2.4,77,77,70,58.893,83.4,5.1,55.4,72.12823188,78.21911302,0.010436099,-1.658266948,830.6542795,890.7372855,7.38920002,7.223999977,4.39,0.385,1.105,0.308,0.327,0.153,0.052,0.3585,0.1286,NA,NA,3.793985024,NA,NA,NA,NA,NA,0.361,163,NA,NA,NA,NA
MLT,Malta,Europe,Southern Europe,,11621,9881,187,2.312,85.027,1.609,59.25175858,92.96077,94.50318909,95.98872375,93.00997162,99.05695343,99.56088257,40.48256769,243422,64.8540325,4.824379921,6.4,3.2,90.5,7.6,8.3,98,98,96,82.44878049,13.3,2.5,0.1,NA,NA,1.181497832,1.642060018,27184.86717,29416.23061,4.251200008,3.47300005,6.726,1.3,1.52,0.999,0.564,0.375,0.151,9.4833,NA,NA,NA,9.340999275,3.1752,NA,NA,NA,NA,0.978,5,NA,NA,100657.141,NA
